Transaction_ID,Date_of_Purchase,Customer_ID,Product_Category,Product_Name,Units,Price,Discounts,Returned,Mode_of_Payment,Purchase_Channel
1000,25-03-2021,690,Automotive,Motor Oil,4,270.65,111.42,TRUE,UPI,In-store
1001,25-03-2021,702,Toys,Doll,4,243.2,103.89,TRUE,UPI,In-store
1002,25-03-2021,204,Automotive,Car Charger,5,304.46,23.1,TRUE,Cash,In-store
1003,26-03-2021,123,Automotive,Air Freshener,5,156.19,4.22,TRUE,Debit Card,Online
1004,26-03-2021,920,Home,Table Lamp,4,145.8,4.62,FALSE,UPI,In-store
1005,26-03-2021,680,Fashion,Dress,1,380.28,25.78,FALSE,UPI,In-store
1006,26-03-2021,336,Fashion,Jeans,3,408.98,24.6,FALSE,Credit Card,Online
1007,27-03-2021,991,Automotive,Motor Oil,5,121.5,3.12,FALSE,Debit Card,In-store
1008,27-03-2021,846,Automotive,Car Charger,5,127.95,34.91,FALSE,Cash,In-store
1009,27-03-2021,384,Fashion,T-Shirt,2,226.62,59.6,TRUE,Cash,In-store
1010,27-03-2021,646,Automotive,Car Charger,1,426.31,192.25,TRUE,Debit Card,In-store
1011,29-03-2021,836,Electronics,Laptop,1,112.52,36.49,TRUE,UPI,Online
1012,29-03-2021,531,Electronics,Laptop,3,431.26,88.59,TRUE,Credit Card,Online
1013,29-03-2021,71,Home,Bed Sheets,3,248.28,46.94,FALSE,Cash,In-store
1014,29-03-2021,32,Automotive,Car Charger,5,194.6,60.59,FALSE,Debit Card,In-store
1015,30-03-2021,903,Books,Mystery Novel,2,370.92,61.61,FALSE,Debit Card,In-store
1016,30-03-2021,592,Automotive,Car Charger,4,193.83,7.32,TRUE,UPI,In-store
1017,30-03-2021,527,Automotive,Motorcycle Helmet,1,370.32,3.69,TRUE,UPI,In-store
1018,31-03-2021,308,Home,Table Lamp,5,33.38,1.65,TRUE,Credit Card,Online
1019,31-03-2021,864,Electronics,Smartwatch,5,285.09,16.61,TRUE,UPI,In-store
1020,31-03-2021,651,Toys,Doll,1,429.59,174.68,TRUE,Credit Card,Online
1021,01-04-2021,924,Toys,Doll,1,449.51,174.16,FALSE,Cash,In-store
1022,01-04-2021,688,Books,Textbook,3,180.67,28.97,TRUE,Net Banking,Online
1023,01-04-2021,482,Electronics,Camera,3,144.59,54.49,FALSE,Credit Card,In-store
1024,01-04-2021,110,Fashion,Watch,2,423.8,46.4,TRUE,UPI,Online
1025,02-04-2021,917,Home,Bed Sheets,3,106.19,50.78,FALSE,Debit Card,In-store
1026,03-04-2021,58,Automotive,Motorcycle Helmet,1,481.41,169.45,FALSE,Credit Card,In-store
1027,03-04-2021,975,Automotive,Car Charger,3,17.9,7.56,FALSE,Cash,Online
1028,04-04-2021,79,Electronics,Laptop,4,98.49,2.15,FALSE,Cash,Online
1029,04-04-2021,602,Electronics,Smartphone,5,41.18,8.52,TRUE,Debit Card,Online
1030,04-04-2021,22,Toys,Puzzle,5,313.2,152.66,TRUE,Debit Card,Online
1031,05-04-2021,138,Home,Cookware Set,3,142.02,29.6,TRUE,Debit Card,In-store
1032,05-04-2021,179,Electronics,Smartphone,1,365.16,83.12,FALSE,Net Banking,Online
1033,05-04-2021,282,Toys,Doll,2,10.17,4.92,TRUE,Net Banking,In-store
1034,06-04-2021,714,Home,Curtains,1,395.97,82.44,TRUE,UPI,In-store
